100
fc3 320 b24 d3d 3f1 5ba e4e 533
3 4 24 50 10 8 2 1
321 c7a 761 7f1 5f9 c38 5a1 9d1
5 4 31 36 8 9 3 1
3f8 c3d 178 120 850 360 9f0 560
3 5 38 45 7 10 2 1
c60 7e0 5a1 7b1 1f9 369 5e9 b99
1 2 40 35 6 10 2 1
aa0 3f0 738 570 7b8 8f8 9a0 528
2 1 22 44 8 9 4 1
331 761 7b0 561 531 b09 521 5e1
1 1 27 30 8 6 2 1
a99 900 7a1 561 538 a51 c34 839
1 1 24 46 8 10 4 1
ee0 abc 962 8d1 d68 1b8 db2 82b
2 5 21 50 10 8 3 1
a9f f70 b26 571 dff f3f a57 3e0
3 5 33 31 7 6 3 1
c29 c7d 178 5a0 851 aa0 5b0 760
5 1 25 40 10 7 2 1
360 c21 7b0 5f8 8f8 c31 138 c2a
3 4 36 47 8 8 4 1
c2a 778 1b0 c32 910 330 7f8 5f0
1 4 40 47 10 7 3 1
9a8 c3d 128 5a0 c35 160 aa8 3e8
5 2 29 32 10 9 4 1
7b1 5b8 df4 bf5 af6 ded 5f2 b34
4 1 40 46 10 8 3 1
5b9 869 8d8 981 378 840 5e8 a49
5 1 21 38 8 7 2 1
539 771 811 131 9f0 5a1 a98 339
4 2 25 37 7 9 2 1
df9 acc 1a9 168 fbb bd7 172 db8
4 5 34 38 8 9 2 1
bd8 7a0 c21 810 738 c38 3a8 728
5 3 20 31 6 10 4 1
1f9 940 1e9 1e9 8a1 768 731 bf9
5 1 38 41 7 10 2 1
3b0 328 bc8 950 728 730 1a8 948
1 4 28 32 10 7 4 1
7e0 8b0 370 3e0 168 c2d 3e0 738
4 5 30 46 8 6 4 1
c2f 860 778 330 538 3e0 128 c26
3 4 34 39 8 9 4 1
179 5e9 5f1 769 c2d 171 779 c64
1 5 36 40 10 8 3 1
7a8 b49 7a0 378 778 520 ad8 738
5 1 33 37 8 8 2 1
bb1 320 321 739 3f8 7f1 ad1 3e1
3 5 36 37 9 6 3 1
ae6 ad4 998 f0e 5f1 b8d fad d37
3 4 28 36 10 9 2 1
1b8 7f1 531 9d8 5b9 7e1 c61 bf8
3 4 28 42 8 8 2 1
1e8 120 c22 730 5e8 c32 578 bd0
5 4 35 44 7 6 3 1
721 c21 1a9 531 3f8 129 569 901
1 4 28 48 9 8 2 1
b18 730 5b1 7e0 131 bc9 361 1b8
1 3 26 30 8 6 3 1
769 1b0 5b8 3e1 138 138 7e0 c24
1 1 36 45 8 7 3 1
578 3a9 570 369 c7f 1b1 1b9 1f9
3 4 22 33 8 6 4 1
570 c39 880 5e0 1b8 b80 800 130
2 1 20 45 6 6 4 1
728 9e8 960 c39 1b8 120 360 528
1 1 29 35 9 7 3 1
179 5e9 8a9 c38 821 a69 729 b19
4 1 31 47 6 7 4 1
1f8 b51 1f9 849 c7b 529 779 7e9
5 2 38 30 10 7 2 1
b70 a71 3a9 1e0 b10 930 730 1e0
4 5 31 43 7 9 4 1
3b8 999 c73 569 7b1 3a1 128 1e9
